d,S,tag,G,K,k_ridge,worst_chi2,ci,worst_k,target_delta
32,4.0,sqrt_d_budget,26.4,372,285,2.8631023760939864e-07,5.610200070062595e-07,186,0.001
32,4.0,generic_d_schedule,591.2835542278148,8170,6271,0.0,0.0,4085,0.001
