H,d,tau,q_op,q_fro,prop47_C,n
2,16,0.1,0.7142857142857164,2.857142857142857,1.0910381702076415,100000
2,16,0.5,0.33337653284872326,1.3333441338682608,0.7452787063716666,100000
8,16,0.1,0.7142857142857164,2.857142857142857,1.0198880925091196,100000
8,16,0.5,0.3333338009055761,1.3333334502264707,0.6967157771490351,100000
32,16,0.1,0.7142860718818834,2.857142946541921,0.9610583398861183,100000
32,16,0.5,1.2500638509097692,1.7970327932512162,0.45692379752901713,100000
