S,G,tag,worst_chi2,k_ridge,K,target_delta
4.0,19.620425254159038,sqrt_d_budget,4.54484037132675e-06,213,278,0.001
4.0,591.2835542278148,generic_d_schedule,0.0,6271,8170,0.001
8.0,19.620425254159038,sqrt_d_budget,4.546693193817945e-06,241,278,0.001
8.0,591.2835542278148,generic_d_schedule,0.0,7091,8170,0.001
