delta,K,n,seed,hist_kl,noise_floor,mean_err,var_err,queries,queries_per_step_chain,accept_rate,secs
0.1,987,100000,0,0.000376026791008675,0.0003,0.010145562888464438,0.0070570331163049005,536040573,5.436516967545639,0.36788458465127083,3114.0574193000793
0.1,987,100000,1,0.0002650223799139978,0.0003,0.004786771686310324,0.0034182699073674883,536039422,5.436505294117647,0.3678781005692541,2215.0813143253326
0.1,987,100000,2,0.0003386697506775533,0.0003,0.010195768747518805,0.002062776631208685,536150382,5.437630649087221,0.3678378011679925,2197.969949245453
0.01,3843,30000,0,0.0007454017400862665,0.001,0.011288698645489835,0.001581916621578472,626637018,5.436725819885476,0.3678819052484501,11777.49739742279
0.01,3843,30000,1,0.0006705354614928066,0.001,0.01506275873232248,0.0005068968287034181,626580280,5.43623355891029,0.36789217030057325,803.1806209087372
