delta,K,G,sigma0_sq,kl_init,chain_sum,floor_total,certified_kl,target_kl,certified_le_target
0.1,987,79.08711354449687,0.0018365472910927458,2.4507394490819135e-05,5.485613089756157e-12,2.961e-12,2.4507399976432225e-05,0.010000000000000002,True
0.01,3843,177.3573085063719,1.8365472910927457e-05,2.4992060922611663e-09,1.1525999999999999e-11,1.1528999999999999e-11,2.510732092261166e-09,0.0001,True
0.001,9338,302.4959392938334,1.8365472910927454e-07,2.493778936495845e-13,2.8010999999999998e-11,2.8013999999999998e-11,2.8260377893649582e-11,1e-06,True
0.0001,18185,453.80730076838967,1.8365472910927457e-09,-2.914672615530546e-16,5.455199999999999e-11,5.4555e-11,5.455170853273844e-11,1e-08,True
1e-05,31086,630.820950773837,1.8365472910927458e-11,2.3555084962902366e-16,9.3255e-11,9.325799999999999e-11,9.325523555084964e-11,1.0000000000000002e-10,True
1e-06,48729,833.1993872005901,1.8365472910927456e-13,-1.1427027013672264e-16,4.840913450056129e-07,1.46187e-10,4.840913448913426e-07,1e-12,False
1e-07,71786,1060.6791430427345,1.8365472910927454e-15,-1.2466062155735645e-16,1.1191648961070058e-05,2.1535799999999998e-10,1.1191648960945397e-05,9.999999999999998e-15,False
1e-08,98790,1311.9166532720335,1.836547291092746e-17,1.4320768056973284e-16,8.322328556215532e-06,2.9637e-10,8.32232855635874e-06,1.0000000000000001e-16,False
