k,kl
1,1.4433974496409656e-17
2,-3.3583277272855215e-17
3,-4.373044024679801e-17
4,6.4359938893789275e-18
5,-1.1482525456821812e-18
6,4.4269946319412715e-17
7,-5.318605891905205e-17
8,-3.893672691553937e-17
9,1.552649453728871e-17
10,-2.7207478444146998e-17
11,1.6667285671909084e-17
12,4.063798601741284e-17
13,1.3343832392823809e-17
14,-4.259361804385262e-18
15,6.903611785962969e-18
16,3.5013593242884916e-17
17,-6.624785946010858e-17
18,2.245581667026767e-17
19,-3.2189474935378106e-17
20,-7.306428323630736e-17
21,4.026387706999331e-17
22,5.3095509221999796e-17
23,-4.407195569057664e-19
24,-1.098718627974402e-17
25,6.697146138877449e-17
26,-3.756701916105656e-17
27,3.3733633081219515e-17
28,9.547821721416699e-17
29,-2.0301718124092215e-17
30,2.2944844750898085e-17
31,-2.36332252452884e-17
32,5.705403965742008e-17
33,2.1412878360650424e-17
34,2.2913467149504894e-17
35,1.5533894139406834e-17
36,-6.448123456189897e-17
37,5.0662727451671924e-17
38,2.2480703371011925e-17
39,-2.9281670823124893e-17
40,-4.686513675132815e-18
41,7.396294558474017e-18
42,-3.858930288776233e-18
43,2.7619693780149157e-17
44,2.9785617811625935e-17
45,7.505361773611351e-20
46,6.4303110178655375e-18
47,9.35535382273717e-18
48,3.3640020598102714e-17
49,-2.8647291819431777e-17
50,7.044002922703702e-17
51,1.567813861866324e-17
52,-3.532909688645339e-18
53,-1.9959888235872826e-17
54,9.203765477886702e-17
55,-1.225375588138414e-17
56,5.437078798470235e-17
57,1.4745239512161868e-18
58,-7.526264829554006e-17
59,3.054817614549747e-17
60,4.915555323756686e-17
61,-1.4025760209977593e-17
62,5.0667112202360076e-17
63,-5.968021289001213e-17
64,7.72666124154269e-18
65,5.873104068281668e-17
66,-2.529236522788662e-17
67,-5.5440972462771544e-17
68,6.540832710578173e-17
69,-4.840223803456186e-17
70,1.4907146347443764e-17
71,-1.1086868110147343e-17
72,2.4228322412925633e-17
73,1.9033853308912052e-17
74,-2.415726448776365e-17
75,4.883140428698545e-17
76,2.4514642217496158e-17
77,1.3444232355265788e-17
78,-1.8304428378746848e-17
79,-5.093752411762478e-18
80,-1.616715642955207e-17
81,4.8479036578431633e-17
82,1.6010207572345928e-17
83,2.4723683987993024e-17
84,1.454445195398405e-17
85,1.8290965858026784e-17
86,-5.856757052268713e-17
87,-1.9404782112626987e-18
88,2.754061101157014e-17
89,-9.980641003212483e-18
90,9.332437896440599e-18
91,1.7664811559167713e-17
92,-6.292517336858366e-17
93,2.1948226067241497e-17
94,2.372222136498272e-17
95,-5.680318427318924e-17
96,3.346944682647811e-17
97,2.5033161748101364e-17
98,1.0832728072605867e-17
99,-1.3427016419171945e-18
100,3.266128859839578e-17
101,5.112319751938667e-18
102,4.830672817415416e-17
103,-1.6842407219736105e-17
104,-2.2502113384614217e-17
105,3.8884938241425763e-17
106,5.616544811463739e-17
107,-1.0759113018297285e-17
108,-2.540754073409364e-18
109,-5.2746980081657934e-17
110,5.1442273547287604e-17
111,3.7838711043098375e-17
112,-4.7791288937061204e-17
113,-2.2372039634479608e-17
114,-1.1180060566987889e-18
115,7.727681366401946e-17
116,1.3663765926520883e-18
117,-1.5686802107501007e-17
118,1.0271423462371473e-17
119,3.085337353516339e-17
120,-3.1615102214186625e-17
121,-4.5008958241388877e-17
122,2.595199668535904e-17
123,2.4652719078403837e-17
124,-4.779897331660212e-17
125,-3.0567826378667694e-17
126,6.566873533257996e-17
127,1.0114574943572571e-17
128,-1.398768056689836e-17
129,3.40873684129412e-17
130,4.441638958087237e-17
131,4.453054650715329e-18
132,-4.540132012153676e-17
133,2.31717786652889e-17
134,-1.4612203146365949e-18
135,1.8592992035826168e-17
136,3.347439553523912e-17
137,1.4000255241289097e-17
138,-2.2497005068255637e-17
139,4.8991112581814557e-17
140,8.227623274176561e-18
141,-2.423965612307569e-17
142,-3.505650356024251e-17
143,-1.1210289258175482e-18
144,-1.83460305262881e-17
145,-3.1158789023291215e-17
146,-4.962655776416071e-18
147,-3.8229577608692605e-17
148,2.1176624261462945e-17
149,-2.3174324389678566e-17
150,-4.7451272907955114e-17
151,1.3999505531181406e-18
152,3.9782793181943855e-18
153,2.810562062903496e-17
154,9.046400693707587e-17
155,6.54076790866537e-17
156,1.8564542460762935e-17
157,4.342580824597432e-17
158,-1.2446408582658582e-17
159,2.538906982772331e-17
160,-6.157821055092746e-17
161,-1.000866186610262e-17
162,5.276225715489268e-18
163,1.006877008032259e-16
164,2.929281054904351e-17
165,-5.183091261888557e-17
166,-1.3445680133741176e-17
167,5.1543604871779134e-17
168,6.211713654956614e-19
169,2.4385730282204492e-20
170,-9.511462068565579e-17
171,-4.7448599171273644e-17
172,-1.452060992565301e-18
173,-2.424969522790009e-17
174,-4.2423494114050255e-17
175,-1.7578954495597873e-17
176,1.5648212821566496e-17
177,3.0727934633342145e-17
178,-3.335956999148479e-17
179,-2.766414589914808e-17
180,2.5514078433067363e-17
181,-4.1834969028650224e-17
182,8.841721522944863e-18
183,-3.6682703102455717e-17
184,-1.3525895592946502e-17
185,1.5058531380309635e-17
186,-1.2888930644642288e-17
187,-4.547863558850042e-17
188,3.008264585480481e-17
189,-1.4919317667293714e-17
190,-2.9028863261530815e-17
191,-1.8421586803965833e-17
192,-6.385056259529739e-18
193,-3.0221919038203245e-17
194,2.834615306249519e-17
195,9.388526708294211e-18
196,2.949437224216674e-17
197,-1.7331707484893995e-17
198,1.6395534416008498e-17
199,2.827941911001914e-17
200,-2.363942751255867e-17
201,1.983600838026971e-17
202,2.202477326018639e-17
203,5.9999356881490355e-18
204,-6.757170194219215e-19
205,2.4668156134163376e-17
206,3.5701536243928175e-17
207,-3.2928010045757803e-17
208,5.393614560902909e-17
209,5.860806012475138e-18
210,-2.3813705917070817e-18
211,-3.770051857163196e-17
212,-2.8323225475473765e-17
213,-4.796487449470867e-18
214,4.3697217972628714e-17
215,-8.77877727972296e-18
216,1.2880615363458969e-18
217,-2.1135808343668227e-17
218,-8.716246532278376e-18
219,5.5070772973012046e-17
220,3.033608597353178e-17
221,7.762882769924312e-18
222,3.266208594334269e-18
223,-2.613698140318165e-17
224,-1.1743995187038282e-17
225,-2.690626854906285e-17
226,-4.6809298548155756e-18
227,-1.352670450337783e-17
228,1.4087840757696504e-17
229,6.020371547300847e-17
230,-2.0310380771866256e-17
231,8.41695705200637e-17
232,4.930833281578816e-17
233,1.277294040816054e-17
234,6.916716259004591e-18
235,3.487081934698786e-17
236,-2.663991889502501e-18
237,-1.2415027760507646e-17
238,-4.660793384285177e-18
239,1.562269644761136e-18
240,-4.197546468678012e-17
241,-7.12764256033372e-18
242,5.352978612803411e-17
243,6.283630329544807e-18
244,-3.779744111332127e-17
245,-3.379548281695655e-17
246,-1.516648593986829e-17
247,-1.203745712827034e-17
248,1.390196324666747e-17
249,-1.4842202715120957e-17
250,-1.6719470700060605e-17
251,4.576320222886036e-17
252,-3.254366774434546e-17
253,-7.636837929969528e-17
