G_factor,tag,G,K,k,per_step_kl,per_step_target,excess
1.0,calibrated,177.3573085063719,3843,1,1.4986267828571954e-17,2.6021337496747333e-08,5.759222726520202e-10
1.0,calibrated,177.3573085063719,3843,960,5.747429492231542e-17,2.6021337496747333e-08,2.2087371538645815e-09
1.0,calibrated,177.3573085063719,3843,1921,-1.7229067304881788e-17,2.6021337496747333e-08,-6.621130565266071e-10
1.0,calibrated,177.3573085063719,3843,2882,-1.1561026608652132e-16,2.6021337496747333e-08,-4.442902525705014e-09
1.0,calibrated,177.3573085063719,3843,3841,2.5884330147419424e-17,2.6021337496747333e-08,9.947348075653286e-10
0.1,violated (0.1x),17.735730850637193,394,1,3.2438374276700917e-09,2.6021337496747333e-08,0.12466067234536163
0.1,violated (0.1x),17.735730850637193,394,98,2.7940452193465253e-09,2.6021337496747333e-08,0.10737515777948697
0.1,violated (0.1x),17.735730850637193,394,197,5.139973237838363e-07,2.6021337496747333e-08,19.75291715301283
0.1,violated (0.1x),17.735730850637193,394,295,1.9056829955627837e-17,2.6021337496747333e-08,7.323539751947778e-10
0.1,violated (0.1x),17.735730850637193,394,392,-6.722257202740106e-17,2.6021337496747333e-08,-2.583363443013023e-09
0.03,violated (0.03x),5.320719255191157,126,1,0.00015423452459197267,2.6021337496747333e-08,5927.23278006951
0.03,violated (0.03x),5.320719255191157,126,31,0.0001441442055634864,2.6021337496747333e-08,5539.461819804782
0.03,violated (0.03x),5.320719255191157,126,63,0.0004217896208500263,2.6021337496747333e-08,16209.37512926651
0.03,violated (0.03x),5.320719255191157,126,94,-4.193475935198945e-17,2.6021337496747333e-08,-1.6115528018969546e-09
0.03,violated (0.03x),5.320719255191157,126,124,1.7690268325990485e-17,2.6021337496747333e-08,6.798370117678143e-10
