seed,n,stat,p,biased
0,10000000,215.87572,0.1959147541378339,False
1,1000000,163.5736,0.968536089768115,False
2,1000000,216.0684,0.19339627705812165,False
3,1000000,196.09120000000001,0.5450067745580824,False
4,1000000,221.8168,0.12801646480374865,False
5,1000000,171.92680000000001,0.9177623816819462,False
6,1000000,196.6748,0.5332933512014142,False
7,1000000,186.96480000000003,0.7198120038306348,False
8,1000000,253.8884,0.0051542877137248444,False
9,1000000,218.7856,0.1601517935269539,False
