pot,n,chi2,q_iter,queries_cum
logcosh,1,2.347221154193719,5.433928215468421,5.433928215468421
logcosh,2,2.0099011738348644,5.433843814122806,10.867772029591226
logcosh,3,1.7234400485362213,5.4337643529366195,16.301536382527846
logcosh,4,1.4796819500557223,5.433689455593948,21.735225838121792
logcosh,5,1.2718773362706761,5.4336188065587425,27.168844644680533
logcosh,6,1.0944209383661079,5.433552133463478,32.60239677814401
logcosh,7,0.9426424046183384,5.433489195813721,38.03588597395773
logcosh,8,0.8126382530231007,5.433429777447158,43.46931575140489
logcosh,9,0.7011363927689256,5.433373681339633,48.90268943274452
logcosh,10,0.6053864436297858,5.433320725936538,54.33601015868106
logcosh,11,0.5230705810552716,5.4332707425064015,59.769280901187464
logcosh,12,0.45223078244030157,5.4332235731964715,65.20250447438394
logcosh,13,0.3912092335586288,5.433179069579948,70.63568354396389
logcosh,14,0.33859933747741966,5.433137091553027,76.06882063551691
logcosh,15,0.29320529912235993,5.433097506484066,81.50191814200097
logcosh,16,0.25400867280264094,5.433060188546276,86.93497833054725
logcosh,17,0.22014058441498952,5.433025018185142,92.3680033487324
logcosh,18,0.19085859518133086,5.432991881685364,97.80099523041777
logcosh,19,0.16552737521346295,5.432960670811704,103.23395590122948
logcosh,20,0.14360251485262854,5.432931282504953,108.66688718373443
logcosh,21,0.12461692874840602,5.4329036186191555,114.09979080235358
logcosh,22,0.10816940906853878,5.432877585689829,119.5326683880434
logcosh,23,0.09391496552211165,5.432853094725598,124.965521482769
logcosh,24,0.081556655266108,5.43283006101756,130.39835154378656
logcosh,25,0.07083865854824678,5.432808403962289,135.83115994774886
logcosh,26,0.06154039869592376,5.432788046895311,141.26394799464418
logcosh,27,0.05347153981537467,5.432768916932898,146.69671691157708
logcosh,28,0.04646772390969134,5.432750944820496,152.12946785639758
logcosh,29,0.040386932317222124,5.432734064786657,157.56220192118423
logcosh,30,0.03510637541047967,5.432718214401646,162.99492013558586
logcosh,31,0.03051983017289661,5.432703334440179,168.42762347002605
logcosh,32,0.0265353582193657,5.432689368747921,173.86031283877398
logcosh,33,0.02307334755285817,5.432676264111514,179.29298910288549
logcosh,34,0.020064830260277944,5.432663970132026,184.7256530730175
logcosh,35,0.017450035773682426,5.432652439101715,190.1583055121192
logcosh,36,0.015177145522909274,5.432641625884159,195.59094713800334
logcosh,37,0.013201219997170055,5.432631487797702,201.02357862580104
logcosh,38,0.011483273590869647,5.432621984502292,206.45620061030334
logcosh,39,0.009989476275282794,5.432613077889714,211.88881368819307
logcosh,40,0.008690464229186068,5.432604731977278,217.32141842017035
logcosh,41,0.007560744173835676,5.432596912804993,222.75401533297534
logcosh,42,0.006578178369442522,5.4325895883362145,228.18660492131156
logcosh,43,0.0057235391065038055,5.432582728361835,233.6191876496734
logcosh,44,0.004980123119745716,5.432576304407961,239.05176395408137
logcosh,45,0.004333417709671439,5.432570289647113,244.48433424372848
logcosh,46,0.003770811513861272,5.432564658812894,249.9168989025414
logcosh,47,0.0032813438582406373,5.4325593881181184,255.3494582906595
logcosh,48,0.0028554874633890392,5.432554455176337,260.78201274583586
logcosh,49,0.002484960004327963,5.432549838926717,266.2145625847626
logcosh,50,0.0021625606423392174,5.432545519562213,271.6471081043248
logcosh,51,0.001882028179505113,5.4325414784609505,277.07964958278575
logcosh,52,0.0016379179439407476,5.432537698120777,282.5121872809065
logcosh,53,0.0014254949068501777,5.432534162096847,287.94472144300335
logcosh,54,0.0012406408710519123,5.4325308549422004,293.3772522979456
logcosh,55,0.0010797738621948216,5.432527762151225,298.8097800600968
logcosh,56,0.0009397781053563925,5.432524870105907,304.2423049302027
logcosh,57,0.0008179431866390807,5.432522166024787,309.6748270962275
logcosh,58,0.0007119111867308625,5.432519637914504,315.10734673414197
logcosh,59,0.0006196307352535069,5.43251727452386,320.53986400866586
logcosh,60,0.0005393170746401665,5.432515065300268,325.9723790739661
logcosh,61,0.00046941734333683094,5.432513000348525,331.40489207431466
logcosh,62,0.0004085803928592924,5.432511070391798,336.83740314470646
logcosh,63,0.00035563054394205373,5.432509266734707,342.26991241144117
logcosh,64,0.00030954476556610544,5.432507581228448,347.7024199926696
logcosh,65,0.0002694328287413672,5.432506006237845,353.1349259989075
logcosh,66,0.0002345200459141772,5.432504534610224,358.5674305335177
logcosh,67,0.0002041322580663696,5.432503159646073,363.99993369316377
logcosh,68,0.00017768277593277482,5.432501875071337,369.4324355682351
logcosh,69,0.00015466102030958773,5.43250067501132,374.86493624324646
logcosh,70,0.00013462263981223188,5.432499553966082,380.29743579721253
logcosh,71,0.00011718091351120563,5.432498506787276,385.7299343039998
logcosh,72,0.00010199927101295359,5.432497528656327,391.1624318326561
logcosh,73,8.878478447926774e-05,5.432496615063909,396.59492844772
logcosh,74,7.728250606775511e-05,5.432495761790619,402.0274242095106
logcosh,75,6.727054078137229e-05,5.432494964888835,407.4599191743995
logcosh,76,5.8555759087086656e-05,5.432494220665614,412.8924133950651
logcosh,77,5.097006611221033e-05,5.432493525666666,418.32490692073173
logcosh,78,4.4367155070945685e-05,5.432492876661261,423.757399797393
logcosh,79,3.861968201146482e-05,5.432492270628086,429.1898920680211
logcosh,80,3.3616807131764403e-05,5.432491704741926,434.62238377276304
logcosh,81,2.9262055075696125e-05,5.432491176361202,440.05487494912427
logcosh,82,2.547145277187468e-05,5.432490683016248,445.4873656321405
logcosh,83,2.2171908799828444e-05,5.432490222398332,450.9198558545388
logcosh,84,1.929980292381117e-05,5.43248979234933,456.3523456468881
logcosh,85,1.6799758522978436e-05,5.43248939085208,461.7848350377402
logcosh,86,1.4623574190242294e-05,5.432489016021308,467.2173240537615
logcosh,87,1.2729293842994593e-05,5.432488666095133,472.64981271985664
logcosh,88,1.1080397388507635e-05,5.432488339427111,478.08230105928374
logcosh,89,9.645096294530475e-06,5.432488034478764,483.5147890937625
logcosh,90,8.395720473064472e-06,5.4324877498126085,488.9472768435751
logcosh,91,7.3081846316824794e-06,5.432487484085597,494.37976432766067
logcosh,92,6.361523780862299e-06,5.4324872360429834,499.8122515637036
logcosh,93,5.53748895004702e-06,5.432487004512595,505.24473856821623
logcosh,94,4.820195284027662e-06,5.432486788399457,510.6772253566157
logcosh,95,4.195815748397891e-06,5.432486586680749,516.1097119432965
logcosh,96,3.6523145245936917e-06,5.43248639840111,521.5421983416976
logcosh,97,3.1792149450815543e-06,5.432486222668228,526.9746845643658
logcosh,98,2.767397505820668e-06,5.432486058648713,532.4071706230145
logcosh,99,2.4089240417968227e-06,5.432485905564249,537.8396565285788
logcosh,100,2.096884688995715e-06,5.432485762687973,543.2721422912667
logcosh,101,1.8252646709626674e-06,5.432485629341114,548.7046279206079
logcosh,102,1.5888283466658493e-06,5.432485504889822,554.1371134254977
logcosh,103,1.3830182763463483e-06,5.432485388742231,559.5695988142398
logcosh,104,1.203867370680456e-06,5.4324852803456825,565.0020840945855
logcosh,105,1.047922412178437e-06,5.43248517918416,570.4345692737696
logcosh,106,9.121774928733117e-07,5.432485084775863,575.8670543585455
logcosh,107,7.940160684505315e-07,5.432484996670962,581.2995393552164
logcosh,108,6.911605221482375e-07,5.432484914449484,586.7320242696659
logcosh,109,6.016282623200198e-07,5.43248483771934,592.1645091073852
logcosh,110,5.236935050056957e-07,5.4324847661144915,597.5969938734997
logcosh,111,4.558540098731356e-07,5.432484699293221,603.029478572793
logcosh,112,3.9680212315929e-07,5.432484636936529,608.4619632097296
logcosh,113,3.453995720548164e-07,5.432484578746626,613.8944477884762
logcosh,114,3.0065552536484574e-07,5.432484524445535,619.3269323129217
logcosh,115,2.6170749545251226e-07,5.432484473773771,624.7594167866955
logcosh,116,2.278047110948478e-07,5.432484426489125,630.1919012131847
logcosh,117,1.9829365038859237e-07,5.432484382365509,635.6243855955502
logcosh,118,1.726054410511324e-07,5.432484341191897,641.056869936742
logcosh,119,1.5024489896653392e-07,5.432484302771316,646.4893542395133
logcosh,120,1.3078097804708477e-07,5.432484266919916,651.9218385064332
logcosh,121,1.1383846820756105e-07,5.432484233466108,657.3543227398993
logcosh,122,9.909076004177564e-08,5.432484202249734,662.786806942149
logcosh,123,8.625355008007318e-08,5.432484173121313,668.2192911152704
logcosh,124,7.507935984030212e-08,5.432484145941345,673.6517752612117
logcosh,125,6.535276853014693e-08,5.43248412057962,679.0842593817913
logcosh,126,5.6886257704391596e-08,5.432484096914624,684.516743478706
logcosh,127,4.951660015350967e-08,5.4324840748329475,689.9492275535389
logcosh,128,4.310170953480963e-08,5.432484054228755,695.3817116077677
logcosh,129,3.751790655925902e-08,5.432484035003272,700.814195642771
logcosh,130,3.265753090175849e-08,5.4324840170643185,706.2466796598353
logcosh,131,2.8426868414754836e-08,5.432484000325867,711.6791636601612
logcosh,132,2.4744344351290692e-08,5.432483984707641,717.1116476448689
logcosh,133,2.1538950178978666e-08,5.432483970134724,722.5441316150036
logcosh,134,1.874887600727959e-08,5.432483956537201,727.9766155715408
logcosh,135,1.6320317097751058e-08,5.43248394384983,733.4090995153906
logcosh,136,1.4206440468456094e-08,5.432483932011728,738.8415834474023
logcosh,137,1.2366479174019673e-08,5.432483920966082,744.2740673683684
logcosh,138,1.0764945601593467e-08,5.432483910659874,749.7065512790283
logcosh,139,9.370951126186355e-09,5.432483901043631,755.1390351800719
logcosh,140,8.15760725636494e-09,5.432483892071186,760.5715190721431
logcosh,141,7.10150893645789e-09,5.432483883699459,766.0040029558426
logcosh,142,6.182283351918727e-09,5.432483875888253,771.4364868317308
logcosh,143,5.3821966883305095e-09,5.432483868600054,776.8689707003308
logcosh,144,4.685812626803454e-09,5.432483861799859,782.3014545621306
logcosh,145,4.079693916025917e-09,5.432483855455008,787.7339384175856
logcosh,146,3.552144578478078e-09,5.432483849535021,793.1664222671207
logcosh,147,3.092983646979519e-09,5.432483844011463,798.5989061111321
logcosh,148,2.693350431570707e-09,5.432483838857793,804.03138994999
logcosh,149,2.3455295483643113e-09,5.432483834049255,809.4638737840392
logcosh,150,2.042807700775029e-09,5.43248382956274,814.8963576136019
logcosh,151,1.7793393425336035e-09,5.432483825376689,820.3288414389787
logcosh,152,1.5500380978750172e-09,5.43248382147099,825.7613252604497
logcosh,153,1.3504748430648306e-09,5.432483817826871,831.1938090782766
logcosh,154,1.1767964380737794e-09,5.432483814426818,836.6262928927034
logcosh,155,1.0256471227876318e-09,5.432483811254487,842.058776703958
logcosh,156,8.941063445178088e-10,5.432483808294634,847.4912605122526
logcosh,157,7.796325807163385e-10,5.43248380553303,852.9237443177856
logcosh,158,6.80012712805933e-10,5.432483802956397,858.356228120742
logcosh,159,5.933220581511023e-10,5.432483800552352,863.7887119212944
logcosh,160,5.178830697616377e-10,5.432483798309335,869.2211957196038
logcosh,161,4.522378027616014e-10,5.432483796216562,874.6536795158204
logcosh,162,3.951157179216125e-10,5.432483794263974,880.0861633100843
logcosh,163,3.454114771983541e-10,5.432483792442181,885.5186471025265
logcosh,164,3.021634054078959e-10,5.432483790742422,890.9511308932689
logcosh,165,2.645335062112508e-10,5.432483789156527,896.3836146824254
logcosh,166,2.317934733042648e-10,5.432483787676866,901.8160984701024
logcosh,167,2.0330803707224732e-10,5.432483786296327,907.2485822563987
logcosh,168,1.7852630485037935e-10,5.43248378500827,912.6810660414069
logcosh,169,1.5696732802439328e-10,5.4324837838065,918.1135498252133
logcosh,170,1.3821188638019066e-10,5.432483782685237,923.5460336078986
logcosh,171,1.2189760312253384e-10,5.432483781639091,928.9785173895377
logcosh,172,1.0770584424335539e-10,5.432483780663029,934.4110011702007
logcosh,173,9.536282874478275e-11,5.432483779752354,939.8434849499531
logcosh,174,8.462697209665748e-11,5.432483778902688,945.2759687288558
logcosh,175,7.528999645955992e-11,5.4324837781099475,950.7084525069657
logcosh,176,6.71704913912663e-11,5.432483777370313,956.140936284336
logcosh,177,6.010969499925523e-11,5.432483776680233,961.5734200610162
logcosh,178,5.3970383717683035e-11,5.432483776036385,967.0059038370526
logcosh,179,4.863265345989021e-11,5.432483775435672,972.4383876124883
logcosh,180,4.399214326156198e-11,5.4324837748752035,977.8708713873635
logcosh,181,3.995803687928401e-11,5.432483774352288,983.3033551617158
logcosh,182,3.645173052291284e-11,5.432483773864404,988.7358389355802
logcosh,183,3.340483445413156e-11,5.432483773409206,994.1683227089894
logcosh,184,3.0756286406585787e-11,5.432483772984508,999.6008064819739
logcosh,185,2.8455904299562462e-11,5.432483772588263,1005.0332902545622
logcosh,186,2.645661467681748e-11,5.432483772218566,1010.4657740267808
logcosh,187,2.472044791090866e-11,5.432483771873638,1015.8982577986544
logcosh,188,2.3212320954257848e-11,5.432483771551823,1021.3307415702062
logcosh,189,2.1902479829805088e-11,5.432483771251565,1026.7632253414579
logcosh,190,2.0765833497193853e-11,5.432483770971428,1032.1957091124293
logcosh,191,1.977884522830209e-11,5.432483770710058,1037.6281928831393
logcosh,192,1.8921975097896393e-11,5.432483770466201,1043.0606766536055
logcosh,193,1.8178791805212313e-11,5.432483770238682,1048.493160423844
logcosh,194,1.7533974272510022e-11,5.432483770026407,1053.9256441938705
logcosh,195,1.697508800191372e-11,5.432483769828356,1059.358127963699
logcosh,196,1.6490364629362375e-11,5.432483769643573,1064.7906117333425
logcosh,197,1.607003419223929e-11,5.432483769471173,1070.2230955028137
logcosh,198,1.570632512937209e-11,5.432483769310322,1075.655579272124
logcosh,199,1.5391021790378545e-11,5.43248376916025,1081.0880630412842
logcosh,200,1.5118128970925682e-11,5.432483769020232,1086.5205468103045
logcosh,201,1.4881429422075598e-11,5.432483768889597,1091.953030579194
logcosh,202,1.4677370430149494e-11,5.432483768767716,1097.3855143479618
logcosh,203,1.450062292462917e-11,5.432483768653999,1102.8179981166159
logcosh,204,1.4347856236440748e-11,5.4324837685479,1108.2504818851637
logcosh,205,1.421640583032513e-11,5.432483768448913,1113.6829656536127
logcosh,206,1.4102274903393663e-11,5.432483768356558,1119.1154494219693
logcosh,207,1.4004353232621725e-11,5.43248376827039,1124.5479331902397
logcosh,208,1.3919310148935438e-11,5.432483768189995,1129.9804169584297
logcosh,209,1.3846701563124952e-11,5.43248376811499,1135.4129007265446
logcosh,210,1.3784307029141019e-11,5.432483768045007,1140.8453844945896
logcosh,211,1.3730350190144236e-11,5.432483767979714,1146.2778682625692
logcosh,212,1.3684386956924754e-11,5.432483767918798,1151.710352030488
logcosh,213,1.3644640972643174e-11,5.432483767861961,1157.1428357983498
logcosh,214,1.3610668148089644e-11,5.432483767808934,1162.5753195661587
logcosh,215,1.3581136215634615e-11,5.432483767759461,1168.0078033339182
logcosh,216,1.3556711309092861e-11,5.4324837677132995,1173.4402871016316
logcosh,217,1.3535839116229909e-11,5.432483767670234,1178.8727708693018
logcosh,218,1.3517631458626056e-11,5.432483767630053,1184.3052546369317
logcosh,219,1.3502532425491154e-11,5.432483767592563,1189.7377384045244
logcosh,220,1.3489209749195652e-11,5.432483767557588,1195.170222172082
logcosh,221,1.347855160815925e-11,5.432483767524955,1200.602705939607
logcosh,222,1.3469225734752399e-11,5.432483767494508,1206.0351897071014
logcosh,223,1.3461898262789873e-11,5.432483767466103,1211.4676734745674
logcosh,224,1.3455681013851972e-11,5.432483767439599,1216.900157242007
logcosh,225,1.3450573987938697e-11,5.4324837674148725,1222.3326410094219
logcosh,226,1.3445689006630346e-11,5.432483767391803,1227.7651247768138
logcosh,227,1.3442136292951545e-11,5.432483767370277,1233.197608544184
logcosh,228,1.3439471757692445e-11,5.432483767350195,1238.6300923115343
logcosh,229,1.3436807222433345e-11,5.432483767331459,1244.0625760788657
logcosh,230,1.343525291019887e-11,5.432483767313977,1249.4950598461796
logcosh,231,1.3434142687174244e-11,5.4324837672976685,1254.9275436134774
logcosh,232,1.3432810419544694e-11,5.43248376728245,1260.36002738076
logcosh,233,1.3431922241124994e-11,5.432483767268254,1265.792511148028
logcosh,234,1.3431256107310219e-11,5.4324837672550075,1271.224994915283
logcosh,235,1.3431034062705294e-11,5.432483767242649,1276.6574786825258
logcosh,236,1.3430589973495444e-11,5.432483767231119,1282.089962449757
logcosh,237,1.3430589973495444e-11,5.432483767220361,1287.5224462169774
logcosh,238,1.3430812018100369e-11,5.432483767210323,1292.9549299841876
logcosh,239,1.3431256107310219e-11,5.43248376720096,1298.3874137513885
logcosh,240,1.3431478151915144e-11,5.432483767192224,1303.8198975185808
logcosh,241,1.3431478151915144e-11,5.432483767184072,1309.2523812857648
logcosh,242,1.3431922241124994e-11,5.432483767176467,1314.6848650529414
logcosh,243,1.3432144285729919e-11,5.432483767169371,1320.1173488201107
logcosh,244,1.3432810419544694e-11,5.43248376716275,1325.5498325872734
logcosh,245,1.3432810419544694e-11,5.432483767156575,1330.98231635443
logcosh,246,1.3433254508754544e-11,5.43248376715081,1336.4148001215808
logcosh,247,1.3433920642569319e-11,5.432483767145434,1341.8472838887262
logcosh,248,1.3434586776384094e-11,5.432483767140418,1347.2797676558666
logcosh,249,1.3434586776384094e-11,5.4324837671357376,1352.7122514230023
logcosh,250,1.3435030865593944e-11,5.432483767131371,1358.1447351901336
logcosh,251,1.3435919044013644e-11,5.432483767127296,1363.5772189572608
logcosh,252,1.3435919044013644e-11,5.432483767123495,1369.0097027243844
logcosh,253,1.3436363133223495e-11,5.432483767119949,1374.4421864915043
logcosh,254,1.343658517782842e-11,5.432483767116642,1379.8746702586209
logcosh,255,1.3437251311643195e-11,5.4324837671135535,1385.3071540257345
logcosh,256,1.3437695400853045e-11,5.432483767110673,1390.739637792845
logcosh,257,1.343747335624812e-11,5.4324837671079855,1396.172121559953
logcosh,258,1.3437695400853045e-11,5.432483767105479,1401.6046053270584
logcosh,259,1.343836153466782e-11,5.43248376710314,1407.0370890941615
logcosh,260,1.3438583579272745e-11,5.432483767100958,1412.4695728612623
logcosh,261,1.3438583579272745e-11,5.432483767098923,1417.9020566283614
logcosh,262,1.3439027668482595e-11,5.432483767097022,1423.3345403954584
logcosh,263,1.3439027668482595e-11,5.432483767095251,1428.7670241625535
logcosh,264,1.3439027668482595e-11,5.432483767093596,1434.199507929647
logcosh,265,1.343969380229737e-11,5.432483767092053,1439.631991696739
logcosh,266,1.3439915846902295e-11,5.4324837670906145,1445.0644754638297
logcosh,267,1.3439915846902295e-11,5.43248376708927,1450.496959230919
logcosh,268,1.344013789150722e-11,5.4324837670880175,1455.929442998007
logcosh,269,1.3440359936112145e-11,5.4324837670868495,1461.3619267650938
logcosh,270,1.3440359936112145e-11,5.432483767085758,1466.7944105321797
