eps2,n,queries
0.01,39,211.88881368819307
0.001,56,304.2423049302027
0.0001,73,396.59492844772
1e-05,89,483.5147890937625
1e-06,106,575.8670543585455
1e-07,122,662.786806942149
1e-08,139,755.1390351800719
1e-09,156,847.4912605122526
1e-10,173,939.8434849499532
