pot,inv_eta,eta,chi2
pseudohuber,2,0.5,0.02002484630208401
pseudohuber,4,0.25,0.0026494850466045605
pseudohuber,8,0.125,0.00010350235469380742
pseudohuber,16,0.0625,4.911318440825596e-07
pseudohuber,32,0.03125,5.2952309204101766e-11
pseudohuber,64,0.015625,0.0
pseudohuber,128,0.0078125,2.220446049250313e-16
